AuthorId,ConfirmedPaperIds,DeletedPaperIds
7482,364796 618706 676203 975272 1120150 1184378 1194376 1210686 1264471 1304396 1392426 1472389 1526678 1656103 2043254 2102965,1732570
8342,65156 310920 511080 527546 590687 605489 836246 837086 1113105 1209024 1224953 1260671 1266852 1277757 1475025 1484776 1487954 1551817 1619581 1716730 1750563 1884906 1887296 1924913 1982939 2033986 2083401 2130180 2175698 2219929,631680
8358,66243 71492 72653 108844 265960 285393 316433 323506 323990 364060 370362 449039 452366 546993 604086 609318 610862 642354 646682 667434 676080 739468 774635 779640 786290 804400 806598 835545 901836 935150 937735 999256 1035720 1069598 1141896 1233473 1353824 1375009 1382055 1398750 1489317 1502549 1546248 1565704 1581348 1584653 1601222 1625592 1750271 1784398 1922958 1958940 1974347 1974708 2006412 2040722 2067339 2147799 2157262 2176593 2238456,47077 81046 102358 113118 148199 149789 170132 222236 244973 246314 362411 363243 367252 406199 410765 424244 457220 533566 540981 550550 566239 598857 611665 628753 656482 660193 662069 663149 693722 698682 699694 713786 809160 830059 831285 832029 875822 889287 930802 932968 945842 952432 959326 975144 1005093 1064309 1081467 1091478 1102497 1134740 1166296 1176945 1211724 1261638 1291889 1307444 1340408 1403146 1420503 1430999 1451930 1478886 1500373 1523283 1583661 1605875 1612422 1623378 1708209 1715869 1717140 1776723 1785208 1832385 1894951 1902941 1918965 1927920 1998711 2014514 2021376 2022795 2036918 2043973 2130756 2160392 2194640 2202830 2227127 2243515 2251243
8495,13894 187627 213208 275201 399695 430623 506548 520838 547513 571848 584701 768572 863577 950789 962561 1037203 1221605 1290237 1309063 1393536 1519522 1532364 1550167 1721245 1914353 2104005 2109530 2170166 2240662,13362 36536 98827 282427 360880 381101 459616 461671 465388 533352 561749 582266 608145 638823 667451 755553 813390 838705 862159 913131 920386 924510 945555 949839 1029328 1064177 1065215 1091656 1103339 1139411 1195563 1259967 1282394 1284954 1351819 1411730 1453840 1464248 1474242 1544759 1545502 1566965 1672248 1673068 1747262 1813575 1864345 1867170 1875171 1901891 1909107 2072920 2117052 2179720 2184949 2225161 2233817 2239865
9058,6206 19589 26275 28596 42265 42756 54937 73945 80623 109676 117632 121571 184930 203223 207190 213163 232617 243229 243296 272142 275673 276177 305288 308320 320697 335926 336428 340134 345691 346521 386767 401105 403521 409629 415667 421598 471970 510178 532209 541328 545336 552505 572817 587840 597363 602026 602888 619312 642476 645123 649710 651305 656635 691607 698394 703599 777009 778131 802685 806511 813069 816160 819251 826399 833932 854090 854307 854934 879900 908920 917849 929900 943213 949583 951825 969886 975481 977216 993155 1002208 1009517 1010982 1023591 1030913 1038438 1055057 1063669 1067050 1068125 1074031 1085134 1101146 1154710 1162180 1164764 1220391 1234218 1251778 1252225 1256208 1288627 1297008 1320004 1321164 1322955 1323528 1329840 1344064 1348800 1359498 1364537 1367535 1375996 1410293 1471766 1471861 1480319 1483916 1506124 1510876 1517717 1537225 1542540 1579411 1595130 1600247 1602895 1621811 1631969 1658859 1661905 1690152 1700409 1705939 1716167 1719194 1721709 1732517 1739794 1784119 1792821 1794127 1802228 1802866 1812263 1823645 1829255 1830211 1848754 1849062 1874805 1893963 1918914 1924494 1949351 1951054 1963764 1978914 1981386 2021132 2039526 2067154 2080963 2101344 2104692 2116970 2117275 2119530 2146352 2150469 2173662 2177290 2194866 2207606 2224196 2252577 2253260,9119 18921 19891 20402 32373 35173 49375 49865 56350 67863 70522 76965 100219 105079 106555 108786 109698 127204 131411 141375 152661 160412 161509 163246 163747 183129 190641 190917 192455 194629 200277 212361 236536 257708 262488 274122 274144 274595 279302 299284 300636 318354 322336 324764 325557 328200 336250 340922 341355 342474 350917 351632 360873 364987 367133 379595 381033 390884 392318 398707 399957 419499 425043 425166 459011 466363 468428 512487 513264 532853 540803 549943 562020 562304 565772 566054 572309 573273 573561 582628 584599 593742 607341 620471 628360 643219 659241 684804 693107 698395 704241 704387 719805 720520 722454 735673 770319 791473 809129 814921 816526 830341 830863 847178 849293 856703 862487 872852 877935 891223 910625 922297 930298 936844 949951 951006 951041 954809 958025 973572 975340 985231 988737 990588 992031 1004656 1010476 1012146 1012352 1040402 1050378 1062720 1075463 1078422 1084845 1086685 1101802 1104155 1130031 1137359 1140999 1141159 1145131 1147080 1149095 1163898 1177078 1185222 1194453 1206064 1208669 1223644 1229452 1239710 1257988 1262719 1272900 1273029 1289594 1298798 1306354 1336367 1347602 1351653 1364518 1375962 1388877 1390474 1393539 1398919 1400708 1425764 1426353 1431692 1436162 1437227 1440735 1453666 1460651 1461570 1466118 1468405 1491487 1494153 1497952 1499536 1504300 1538120 1539766 1556897 1565514 1571624 1586756 1593981 1594573 1595593 1596172 1606292 1609528 1614052 1618347 1634608 1636551 1644564 1680722 1684712 1689108 1695108 1710593 1710924 1713610 1717746 1723864 1730478 1747006 1770553 1812268 1812425 1844726 1854106 1890405 1890863 1893371 1897080 1898892 1902647 1908714 1912471 1937614 1939541 1948784 1966368 1971589 1974217 1977894 1983105 1984551 1987419 2017774 2024656 2043536 2047218 2047954 2053042 2058780 2063100 2064014 2065496 2079961 2080032 2085707 2094735 2096193 2109917 2110132 2117146 2119920 2122306 2128594 2147384 2147836 2163631 2166519 2177221 2179544 2194720 2198794 2200067 2200162 2203261 2204640 2206007 2210037 2237964 2239188 2240712 2253111 2253168 2257842
9285,26523 431719 558477 610211 810559 1226406 1597379 1788550 1998045 2009578 2153433 2226571,1663400
10760,326807 383869 863595 1127190 1244612 1266875 1355876 1624498 1677731 1733090 1741514 1827596 1889993 2032483,1889993 2011973
11509,212259 331029 351246 386220 552497 868567 1240060 1367290 1536681 1755077 1779106 1820723 1928567 2053707,376781 386220 887748 1231481 2053707 2201690
11954,120345 123463 294955 324513 424668 522829 602661 926222 1128350 1170244 1688595 1991600 2130003 2194971,469199 665453 1192590
12625,4029 17010 93900 195445 478260 540291 683847 717853 781655 795320 821361 889766 1040371 1320479 1513059 1589368 1668801 1686490 1720443 1774954 1883278 2026197 2243018,128809 305683 430367 795293 837788 922613 1045340 1281032 1349559 1360333 1650845 1697904 1888202 1979259 1986633 2020423 2078964 2108287 2245544 2249655
13838,74938 115767 130909 146171 219510 221236 295106 418996 588845 641877 743100 1148339 1159426 1279991 1376994 1393020 1403163 1411180 1538067 1587351 1872671 1948576 2175831,74938 115767 130909 219510 224527 394549 418996 428515 569668 588845 641877 743100 851322 889427 942794 965773 1063435 1148339 1150498 1159426 1279991 1376994 1393020 1403163 1411180 1476042 1525466 1538067 1587351 1648823 1713793 1716824 1948576 2175831
14119,902798,21249 30828 33973 78603 136498 158360 324093 339964 388277 393721 395149 395716 449469 483756 494360 500670 515651 540061 548426 553778 566068 602480 651385 661593 666688 691182 697993 703155 712390 734482 763333 776172 778636 816017 886598 897371 933368 945672 965569 982566 987531 1012527 1026538 1046151 1062133 1114541 1151627 1176821 1314551 1316896 1346183 1357151 1383908 1396770 1422941 1424511 1451117 1462308 1466596 1466822 1488983 1504902 1508896 1584226 1586619 1618242 1618944 1624025 1639386 1690537 1712979 1752871 1795739 1809912 1912951 1925935 1928911 1964963 2049833 2055251 2063786 2118924 2119057 2121656 2150277 2159961 2173529 2208803 2228553 2230436
14910,48570 62428 66489 214570 256974 453234 469909 635916 680426 1188516 1191868 1294596 1317902 1470142 1549730 1583945 1585428 1599443 1775533 1790652 2104333 2127599 2168113,1289340 1448267
15002,1296462,2103611
15417,2484 21707 51265 135650 136576 263396 333082 419417 740060 781187 846137 1083330 1315370 1475681 1479770 1493582 1586022 1607923 1614016 1619936 1704619 1918570 2003454 2051758 2253483,2484
15665,232 13034 16427 16717 37920 40152 56931 75460 79671 108894 112963 112963 112963 117689 162008 162008 162008 174488 174488 174488 211729 250939 333599 333599 333599 352821 359715 372481 372481 372481 378714 392747 406559 425739 438396 466391 472123 472123 472123 526950 531831 531831 531831 556177 573372 604087 625065 712063 714952 730830 748388 748388 748388 832111 834537 852388 897948 932413 969200 1001794 1001794 1001794 1011618 1024150 1036343 1037156 1041034 1045894 1143977 1143977 1143977 1154575 1178755 1192779 1202553 1203181 1208137 1232047 1232047 1232047 1238314 1297633 1305290 1330159 1353002 1355030 1355030 1355030 1369815 1373001 1380140 1389654 1458307 1478735 1479726 1532772 1532772 1532772 1546540 1598211 1649575 1696255 1696255 1696255 1732041 1747858 1747858 1747858 1779728 1780827 1787065 1815833 1815833 1869382 1872821 1920882 1920882 1920882 1942143 1957567 1957567 1957567 1975881 2028152 2042662 2042662 2042662 2062958 2062958 2062958 2114268 2114753 2153012 2171477 2171477 2171477 2181007,26270 26270 26270 29080 29080 29080 32339 55253 55253 55253 59462 71287 71287 71287 130897 130897 130897 136609 136609 136609 144256 144256 144256 145019 145019 145019 149324 149324 149324 165806 165806 165806 172106 172106 172106 184058 184058 184058 198498 198498 198498 214285 286676 314126 332593 332593 332593 334289 334289 334289 342585 342585 342585 364248 370090 370090 370090 375885 379760 387841 418784 418784 418784 429075 438185 438185 438185 456283 456283 456283 466659 466659 466659 472228 480388 480388 480388 492682 492682 492682 555454 580318 623449 623449 623449 650435 650435 650435 662060 662060 662060 667899 667899 667899 676339 676339 676339 679753 700008 755299 770277 773464 773464 773464 778096 778262 778262 778262 783645 783645 783645 794749 794749 794749 810489 810489 810489 827462 842320 855289 855289 855289 862383 862383 862383 874124 874124 874124 874922 874922 874922 880841 884911 884911 884911 897402 919347 928054 928054 928054 1042999 1042999 1042999 1046314 1046314 1046314 1081878 1087888 1087888 1087888 1094179 1120197 1127821 1127821 1127821 1167942 1178878 1178878 1178878 1202890 1241010 1250188 1271280 1271280 1271280 1287061 1287061 1287061 1310510 1310510 1310510 1316422 1355835 1358341 1358341 1358341 1364916 1364916 1364916 1372719 1377673 1377673 1377673 1380586 1380586 1380586 1385315 1385315 1385315 1464597 1489561 1489561 1489561 1496751 1521987 1532471 1532471 1532471 1551853 1551853 1551853 1552687 1553024 1553024 1553024 1557345 1557345 1557345 1565249 1565249 1565249 1591980 1593595 1612169 1612169 1612169 1629741 1629741 1629741 1662567 1662567 1662567 1698045 1698045 1698045 1714556 1714556 1714556 1728187 1728926 1728926 1728926 1750612 1805283 1805283 1805283 1815833 1825476 1825476 1825476 1826627 1838966 1900699 1900699 1900699 1926178 1937755 1937755 1937755 1955626 1973435 1973435 1973435 1984432 2000371 2016496 2016496 2016496 2043214 2043214 2043214 2051233 2051233 2051233 2076877 2107434 2107434 2107434 2154668 2154668 2154668 2156038 2164936 2188274 2188274 2188274 2212686 2212686 2212686 2227587 2227587 2227587 2233330 2235387 2235387 2235387 2236888 2236888 2236888 2241287 2250245 2250245 2250245
16492,56470 100212 127140 237921 379300 382089 404412 419052 488568 594740 617530 628826 718275 814651 830269 883409 891040 993717 1001725 1117668 1125530 1128676 1131370 1144485 1152001 1173571 1186737 1405199 1517987 1536253 1629214 1664942 1676529 1732324 1745822 1761206 1843090 1863832 1864349 1961161 1980632 1981168 1992311 2041887 2067246 2124583 2153240 2212967,1729659
16518,38923 393525 1220736 1909943,155438 362163 721991 1141837 1450306 1454694 1932611 2045497 2166563
16551,181331 211916 217603 400905 815522 1125597 1147486 1294756 1415797 1437137,194423 723255
16691,1760352,60387 474451 557959
16826,152027 159371 277403 404005 436171 478414 492567 692126 709530 716848 811650 919540 995062 1390284 1603190 1812586 1939268 1962967 1977626 2191897,641373
17134,92472 1552503,2227853
17308,754198 1163537 1950810 1998495 2016703,572729
17831,410142 727269 1651893 1904543 2247124,253736
18282,11069 54476 246749 666521 774686 1178460 1731468 1755589 2114560,101753 111366 243410 525853 534164 630221 650584 724171 784944 790314 851911 1145705 1218415 1413387 1508460 1668767 1954826 2173437
18350,25713 40971 164503 165378 207151 456139 470204 663520 748512 1065842 1205613 1217440 1334876 1376408 1483989 1614550 1967566 1975899 2057493 2153984,107057 849134 888504 1143756 1565023 1765072 2218830
19127,197701 308040 565571 599300 647946 721213 738793 777361 950669 1178956 1519095 1553031 1632285 1732317 1837717 2018596 2031233 2034267 2041265 2073467 2093675 2231205 2239500,2077131
20163,639880,87131
20689,1832 26399 70057 94156 98461 104005 106552 144665 167245 175469 192044 215428 222133 222575 225671 242903 246571 246605 251460 262962 280648 323154 329379 337202 345190 360343 362527 367649 369427 376366 377123 398049 407289 415039 417264 441325 462803 479661 498995 560481 562946 563213 581476 581929 594161 595577 629917 636869 661378 725262 750504 758882 772438 780302 782119 813303 813988 821041 842031 852470 860053 864123 874173 884765 889579 891351 896797 897614 937386 958560 959474 969384 973453 978134 984077 996862 1018825 1034572 1038094 1040924 1042607 1044125 1047070 1061150 1070605 1078430 1079791 1087664 1095257 1096506 1103120 1107458 1119830 1121628 1134952 1136048 1154100 1157646 1172428 1184277 1186342 1188987 1189793 1212089 1251341 1251845 1256699 1263514 1276199 1289902 1290906 1303381 1319230 1326560 1340133 1352620 1372361 1372457 1374181 1376507 1385496 1387734 1418682 1427452 1474487 1526855 1574677 1579174 1598520 1619318 1620561 1642631 1643968 1665047 1684003 1690274 1705861 1714352 1725064 1727821 1773684 1777467 1780080 1793219 1824247 1927571 1928532 1930555 1942111 1970569 1985513 2015771 2026494 2040068 2053690 2061043 2063081 2076368 2089519 2132599 2150342 2155600 2165215 2168554 2184387 2206431 2219032 2220886 2232735 2235313 2237143,51754 864123 992592 993607 1051435 1119175 1501625 1559738 1838902 2032195
20844,320003 358901 601768 648312 922823 1047610 1232888 1290117 1984336 2143927,456520 531175 643161 715533 745350 866439 998586 1044097 1055795 1171196 1292509 1302302 1302975 1519426 1704235 1901004 1993220
21352,11757 71296 104490 118132 205437 230971 233472 265060 286040 411864 431039 438326 681870 763747 801352 826659 948596 967811 1004600 1126430 1468614 1508399 1583760 1600807 1667132 1816970 1841992 1926717 2029238 2053633 2204823,1910617
21794,8081 54281 95815 98107 177817 186047 215262 262748 287750 313199 449909 524166 578104 603122 603419 622668 663770 672478 682871 695770 703191 750379 782876 798465 835844 862546 891231 1028719 1029472 1090519 1098974 1166818 1209814 1218046 1265860 1290084 1298444 1470427 1529281 1547605 1555293 1587832 1618584 1624955 1666462 1784660 1854498 1866729 1904185 1934443 1967593 2013022 2088140 2113999 2170607 2195443 2229114 2246469 2255115,2069 93090 94436 191200 210511 300709 338415 380992 395663 407212 472306 534182 578945 615969 645512 661365 689072 689858 699889 759823 795768 844105 847238 863630 899949 906512 925723 997896 999969 1005385 1148954 1204995 1270450 1298141 1393247 1435108 1439888 1470811 1559703 1595624 1684131 1706275 1728795 1764807 1804708 1830077 1869365 1923433 1938888 1941203 2124179 2148210 2213584
21883,347144 787584 1285889 1497380 2135787,747965
22538,67158 137186 250329 354346 366379 474235 479695 540990 632273 679211 722241 805571 1082478 1304855 1355546 1533298 1534301 1599534 1700459 1718003 1736550 1765434 1946664 2076186 2103581,61590 61793 75623 92764 294278 301936 352563 358741 412620 465462 484882 496544 561437 624601 658312 722294 862270 874627 1081992 1106752 1254546 1313284 1334945 1407963 1417697 1443673 1510854 1529731 1548761 1558002 1570138 1625225 1655282 1781011 1831346 1832031 1837159 1846415 1902094 1931178 1985083 1987623 2044098 2062704 2065608 2068135 2073786 2077088 2223995
23661,3928 35500 40133 112939 116659 177929 188720 231032 420008 441258 441738 453919 480401 482239 515897 532453 563638 568890 603217 617852 707427 748338 749907 753524 861665 906354 960242 997266 1032292 1145178 1180301 1189238 1233692 1274394 1283048 1288501 1407163 1420480 1533657 1636894 1638178 1703373 1736639 1808170 1838625 1842421 1861747 1987745 1987790 2005699 2020596 2083654 2098374 2111446 2128108 2195926,1271741 2180071
24624,74737 359580 464490 521847 533398 538784 849265 945262 1093252 1365131 1367587 1421608 1505050 1666807 1815360 1883439 1886854 1909318 2114620 2125603 2135249 2136684 2169714 2229710 2244065,127901 418734 635865 765904 1855295 2141754
24790,113151 278717 834939 950680 1066372 1067006 1176507 1308557 1347433 1399536 1912990 1975069 2049602 2253741,1114127 1313633 1338772 1356134 1745516 2059812
25197,127037 140218 384748 416870 1116541 1678655,15055 46393 60017 134474 151263 346210 461881 693616 752872 765806 827886 887866 931305 945496 965267 978738 982664 1020091 1036458 1213998 1280970 1283941 1308974 1370929 1402543 1444549 1453962 1462306 1488358 1509161 1517814 1599419 1652119 1690171 1805845 1857998 1897670 1970449 2035227 2127010 2197116 2199223 2215011 2217378 2232118 2233445
25385,61718 151126 413041 534425 567238 776036 813772 916699 919296 1111650 1430671 1511049 1593464 1603681 1852969 1945619 2052813 2167726,567238 1430671
26572,28517 98357 245393 264941 265234 419135 455975 488200 497994 508047 567854 570405 590584 787532 820824 959717 974191 977589 996441 1067066 1069807 1141854 1161603 1260375 1268752 1290714 1330283 1432970 1442611 1447855 1450252 1476686 1544849 1659077 1688116 1690088 1756697 1779638 1808761 1858920 1897781 1910072 1941760 1969129 1988720 2041622 2056665 2212785,289615 375729 382912 515840 670029 746465 1133308 1163020 1169277 1456725 1658588 1669296 2040063 2179852 2241304
26792,1949713,2200941
27527,107393 339015 411840 495764 614692 935725 1087080 1109230 1140896 1247252 1271484 1276254 1365724 1424772 1431196 1434031 1435626 1492246 1647451 1834273 1915605 1939769,92712 241308 467072 721848 1547374 1708411 1862695 2157093
28803,110846 646904 1272290 1387896 1452213 2005678 2167401 2180723,16092 369175 1417843 1485779 1657907 1696314 1703967 2077831 2126209 2140337
29011,11382 60477 263486 453211 516656 526194 532600 547817 577230 658520 883780 899589 905557 1027167 1078742 1081643 1134448 1161212 1161733 1220361 1333684 1403393 1424632 1433318 1485217 1530860 1584900 1701278 1707609 1708871 1730481 1821142 1876371 1918684 1939313 2079270 2109315 2118382 2177110 2190565,212241 317950 806762 985890 1338077
29170,452491 716785 1111850 1146316 1216240 1245323 1340503 1355830 1591338 1810466 1892552 2097752 2197069 2247172,89074 181605 339439 393288 531983 534082 545654 572256 626372 1059397 1074572 1082569 1106771 1291626 1426582 1478737 1532520 1539064 1797310 1827242 1831470 2031655 2179421 2213144
29300,261234 263520 586009 630327 843832 883520 931435 970415 1012116 1254537 1300342 1448609 1459881 1596089 1618915 1795847 1804836 1819701 1833555 1890121 2038505 2039829,1969358
29928,1676200,1627750 2038078
29977,422060 446029 488315 685907 798775 1236139 1245793 1860824 2026518 2164650,87939 515822
30418,45090 117471 203580 221051 355311 437321 469281 595368 630618 701046 728505 759838 968809 988909 1015021 1039972 1059542 1158050 1320457 1355156 1399629 1424224 1521745 1526286 1532798 1577959 1662095 1737321 1760317 1810961 1845038 1976443 1996926 2059673 2072716 2095687 2196454 2236883 2248628,19349 43179 81043 125190 155677 176911 221310 225119 258522 259557 345297 397585 557403 649994 713783 767055 817718 914194 956813 1110760 1142406 1402151 1562535 1804714 1830140 2251234
30708,506614 506614 506614 506614 1177157,7676 26971 32175 34589 38523 38713 41419 42073 43930 52891 53588 53588 54771 54771 58242 59835 62112 67419 68604 70676 70676 76166 79051 79051 79788 88805 89372 93805 93805 93805 93805 95179 100099 104096 105226 107419 108730 112959 116840 119387 128438 135589 137457 137457 138018 143774 151897 161421 162299 175789 176828 182990 205004 206247 207973 208006 209691 213456 220878 224933 231998 233385 237853 237853 241426 250453 254787 260129 261658 265783 270478 278646 281178 284259 284259 286552 286552 291595 291595 291595 291595 308867 318087 327105 343467 354219 358532 358574 376155 384052 384092 392509 399705 400471 404292 411318 415643 415643 421791 424911 427751 436885 436885 453419 453419 453419 453419 454823 457942 483843 485747 490409 494787 501948 506672 514663 519231 523577 524918 524918 525027 527652 529728 537791 539138 545080 546025 546025 546175 547970 553339 554071 554071 555099 560523 560523 560523 560523 563706 563706 563737 566802 571638 576295 576295 576295 576295 577097 577791 586949 588513 590636 592103 592103 594122 596321 596321 615930 615930 618428 622933 626919 630571 631144 634294 647009 648310 648310 658816 658816 658816 658816 660308 662194 670964 671065 673430 674424 674424 674424 674424 677655 685278 685412 685412 685412 685412 686201 691817 696353 697261 700067 705687 706540 708133 711168 712128 712128 713685 713819 713819 713819 713819 718526 724930 729337 731023 731023 731920 739239 739728 743150 743819 750518 752822 755112 761509 765602 767975 777132 779955 784099 792699 797937 798262 805364 805412 805412 805412 805412 806488 806488 807115 808739 811303 815731 816811 817952 820746 822497 827382 831712 833471 834312 837108 838378 845565 845838 847158 857736 858721 859989 865518 867568 871151 881476 890443 893431 895747 897894 899364 931328 932779 947762 951966 956871 960590 966101 966569 979238 984037 988258 997850 997969 1005151 1007628 1007984 1010014 1010014 1010014 1010014 1011644 1012302 1021255 1022506 1023000 1025191 1029613 1029702 1031240 1031240 1037471 1039820 1041627 1041627 1043104 1049241 1052277 1054055 1054844 1056424 1056424 1056424 1056424 1059526 1066391 1068068 1068068 1073763 1074712 1074712 1074712 1074712 1078160 1083187 1088908 1092326 1092326 1092944 1093380 1093380 1094093 1107104 1109271 1114232 1121606 1121606 1128021 1128021 1128021 1128021 1138856 1140483 1143193 1143211 1151043 1152239 1152239 1154053 1156672 1157692 1169791 1171983 1181699 1185857 1191511 1193565 1193565 1198823 1207404 1210966 1214859 1215979 1216633 1223997 1224174 1243082 1245677 1255218 1255218 1255218 1255218 1261361 1264305 1267007 1267007 1267007 1267007 1267202 1270197 1270318 1272297 1277515 1277515 1282752 1289018 1291737 1294320 1295131 1299952 1302313 1311815 1318956 1321207 1323188 1329815 1336401 1337664 1341721 1342438 1344672 1344841 1347605 1348191 1348191 1348191 1348191 1349916 1356356 1362010 1362706 1367624 1367624 1369473 1371887 1373662 1378003 1380963 1385595 1385868 1399188 1400942 1410981 1414479 1417349 1421040 1421810 1425298 1430710 1431368 1431607 1434125 1435178 1435484 1451946 1453464 1455943 1457866 1459995 1462665 1466485 1467800 1474999 1487193 1489313 1490108 1494358 1517779 1525315 1530389 1532651 1532741 1532923 1536350 1541323 1546653 1550126 1550496 1553785 1558242 1561022 1563871 1569500 1572182 1573449 1574273 1574650 1575929 1577391 1578446 1578905 1588529 1593337 1593945 1594715 1598366 1610360 1629203 1636529 1642830 1644846 1647691 1653630 1655216 1655216 1655216 1655216 1656221 1659212 1660695 1669907 1670485 1672600 1675944 1676752 1681402 1682180 1685845 1692414 1692583 1697215 1697325 1698114 1698499 1703830 1703830 1705685 1706095 1710643 1713190 1715736 1716612 1719100 1725858 1727664 1729493 1731039 1738924 1747405 1747437 1747549 1747989 1759353 1759353 1763652 1772935 1775877 1776664 1776664 1776871 1788324 1789682 1796201 1797330 1800233 1804939 1804939 1804939 1804939 1806205 1811363 1829186 1831838 1835594 1839109 1849128 1855375 1857839 1857839 1858500 1858634 1867551 1873007 1881367 1882213 1886649 1888298 1890462 1892155 1896694 1897681 1900896 1900896 1904955 1904955 1904955 1904955 1907110 1907110 1907110 1907110 1910664 1913517 1913663 1913663 1913663 1913663 1914625 1922713 1922911 1928202 1929821 1934852 1935796 1935796 1944409 1947667 1949062 1950313 1952346 1952996 1954919 1966125 1975785 1977952 1979297 1980985 1984226 1984226 1985579 1993287 2002563 2003002 2004904 2005108 2006039 2022518 2028064 2037323 2051569 2054700 2058511 2058511 2060075 2062791 2063328 2063328 2066498 2067577 2067577 2069188 2074372 2075501 2078712 2084943 2098672 2099143 2122610 2122610 2123494 2127333 2132911 2138165 2143218 2146784 2148212 2162366 2163479 2165873 2167353 2172159 2174930 2175124 2180171 2182766 2186845 2187351 2187478 2189094 2194729 2194768 2204783 2206781 2209936 2210262 2211045 2211045 2211045 2211045 2213126 2216092 2218622 2226643 2226643 2226643 2226643 2229448 2229448 2231261 2235488 2240761 2240761 2245131 2252728 2258895
30739,256382 456493 545159 659288 1136686 1509109 1756198,256382
31513,70834 145877 1187322 1779092 1844683,81649 781823 898331 1435533 1712602 1786845 2020802
31909,549596 691316 769105 1264418 1530448 2048081,48854 609993 640924 806215 1078057 1563563 1864404 2239742
32026,170517 223226 232571 265163 477383 612981 630077 762748 1093525 1187619 1226406 1277160 1331755 1372963 1405639 1460822 1520390 1577703 1715553 1774251 1928221 1980571 2051344 2106713 2210383 2232174 2232900 2236203,95471 139117 145690 186946 227652 258494 271181 303132 334223 334506 373991 437675 492451 535817 544321 552934 581186 674122 813436 823632 903297 949365 960532 1016125 1056006 1084984 1119279 1140462 1287277 1334980 1533551 1533887 1578924 1726129 1739827 1754845 1895201 1907717 1918365 1950317 2138203
32239,189026 193947 359563 893897 1211524 1765664 2028827,1380274 2188436 2237434
32328,1540613 1695562,1517307
32997,1296560 1605446,1030584
