Id,ShortName,FullName,HomePage
141,"JASIS","Journal of The American Society for Information Science and Technology","http://www.asis.org/jasist.html"
142,"JBCS","Journal of The Brazilian Computer Society","www.scielo.br/jbcos"
143,"J.UCS","Journal of Universal Computer Science","http://www.jucs.org/"
144,"VLC","Journal of Visual Languages and Computing","http://www.sciencedirect.com/science/journal/1045926X"
145,"JVCA","Journal of Visualization and Computer Animation","http://www3.interscience.wiley.com/cgi-bin/jtoc?ID=5499"
146,"JWE","Journal of Web Engineering","http://www.rintonpress.com/journals/jwe/"
147,"SIAMCOMP","Siam Journal on Computing","http://www.siam.org/journals/sicomp/sicomp.htm"
148,"JODS","Journal on Data Semantics","http://www.springer.com/computer/lncs?SGWID=0-164-2-98767-0"
149,"SIAMDM","Siam Journal on Discrete Mathematics","http://www.siam.org/journals/sidma/sidma.htm"
150,"KBS","Knowledge Based Systems","http://www.sciencedirect.com/science/journal/09507051"
151,"KAIS","Knowledge and Information Systems","www.cs.uvm.edu/~kais/"
152,"DATAMINE","Data Mining and Knowledge Discovery","http://www.wkap.nl/journalhome.htm/1384-5810"
153,"DKE","Data & Knowledge Engineering","www.elsevier.com/locate/datak"
155,"KI","Künstliche Intelligenz","http://www.kuenstliche-intelligenz.de"
156,"AIL","Artificial Intelligence and Law","http://www.wkap.nl/prod/j/0924-8463"
157,"ML","Machine Learning","http://www.springer.com/computer/ai/journal/10994"
158,"LOPLAS","ACM Letters on Programming Languages and Systems","http://loplas.acm.org/"
159,"LIBT","Library Trends","http://muse.jhu.edu/journals/library_trends/"
160,"COLI","Computational Linguistics","http://www.mitpressjournals.org/loi/coli"
161,"","Higher-order and Symbolic Computation / Lisp and Symbolic Computation","http://www.wkap.nl/journalhome.htm/1388-3690"
162,"LOGIN","Log in","http://www.log-in-verlag.de/index.html"
163,"TPLP","Theory and Practice of Logic Programming","http://www.cs.kuleuven.ac.be/~dtai/projects/ALP/TPLP/"
164,"SLOGICA","Studia Logica - An International Journal for Symbolic Logic","http://www.kluweronline.com/issn/0039-3215"
165,"MVA","Machine Vision and Applications","http://link.springer.de/link/service/journals/00138/index.htm"
166,"","Markup Languages",""
167,"MLQ","Mathematical Logic Quarterly","http://www3.interscience.wiley.com/cgi-bin/jtoc?ID=60500242"
168,"TOMS","ACM Transactions on Mathematical Software","http://www.acm.org/toms"
169,"MSCS","Mathematical Structures in Computer Science","http://journals.cambridge.org/action/displayJournal?jid=MSC"
170,"MST","Theory of Computing Systems / Mathematical Systems Theory","http://link.springer.de/link/service/journals/00224/index.htm"
171,"AMAI","Annals of Mathematics and Artificial Intelligence","http://www.wkap.nl/prod/j/1012-2443"
172,"MISQ","Management Information Systems Quarterly","http://www.misq.org/"
173,"MONET","Mobile Networks and Applications","http://www.wkap.nl/prod/j/1383-469X"
174,"TOMACS","ACM Transactions on Modeling and Computer Simulation","http://www.linklings.net/tomacs/"
175,"UMUAI","User Modeling and User-adapted Interaction","http://www.kluweronline.com/issn/0924-1868"
176,"MMS","Multimedia Systems","http://www.springerlink.com/content/100377/"
177,"MTA","Multimedia Tools and Applications","http://www.wkap.nl/kapis/CGI-BIN/WORLD/journalhome.htm?1380-7501"
178,"NC","Natural Computing","http://www.kluweronline.com/issn/1567-7818"
180,"NIS","Networking and Information Systems Journal",""
181,"","Networks","http://www.interscience.wiley.com/jpages/0028-3045/"
182,"CN","Computer Networks and Isdn Systems","www.sciencedirect.com/science/journal/01697552"
183,"NECO","Neural Computation","http://neco.mitpress.org/"
184,"NGC","New Generation Computing","http://www.ohmsha.co.jp/ngc/"
185,"","New Review of Hypermedia and Multimedia / Hypermedia",""
186,"NJC","Nordic Journal of Computing","http://www.cs.helsinki.fi/njc/"
188,"NAR","Nucleic Acids Research","http://nar.oupjournals.org/"
189,"LOBJET","Logiciel, Base De Données, Réseaux / Software, Databases, Networks","http://objet.e-revues.com/"
190,"SIGOPS","Operating Systems Review","http://www.sigops.org/osr.html"
192,"PAAPP","Parallel Algorithms and Applications","http://taylorandfrancis.metapress.com/openurl.asp?genre=journal&issn=1063-7192"
193,"DPD","Distributed and Parallel Databases","http://www.springerlink.com/content/100257/"
194,"PC","Parallel Computing","www.elsevier.com/locate/parco"
195,"PPL","Parallel Processing Letters","http://www.worldscinet.com/ppl/ppl.shtml"
196,"PAA","Pattern Analysis and Applications","http://www.springerlink.com/openurl.asp?genre=journal&issn=1433-7541"
197,"PE","Performance Evaluation","www.elsevier.com/locate/peva"
198,"SIGMETRICS","Sigmetrics Performance Evaluation Review","http://www.sigmetrics.org/per.shtml"
199,"SCP","Science of Computer Programming","www.elsevier.com/locate/scico"
200,"TOPLAS","ACM Transactions on Programming Languages and Systems","http://www.acm.org/toplas/"
201,"","ACM Queue","http://www.acmqueue.org/"
202,"QUESTA","Queueing Systems - Theory and Applications","http://www.wkap.nl/prod/j/0257-0130"
203,"RSA","Random Structures and Algorithms","http://www.interscience.wiley.com/jpages/1042-9832/"
204,"RTS","Real-time Systems","http://www.wkap.nl/journalhome.htm/0922-6443"
205,"RE","Requirements Engineering","http://link.springer.de/link/service/journals/00766/index.htm"
207,"RITA","Revista De Informática Teórica E Aplicada","http://www.seer.ufrgs.br/index.php/rita/index"
208,"AROBOTS","Autonomous Robots","http://www.wkap.nl/journalhome.htm/0929-5593"
209,"CACM","Communications of The ACM","http://cacm.acm.org/"
210,"CSUR","ACM Computing Surveys","http://www.acm.org/surveys"
211,"XRDS","ACM Crossroads Student Magazine","http://xrds.acm.org/"
213,"DR","ACM Sigmod Digital Review","http://www.eecs.umich.edu/digital-review/"
215,"SIGPLAN","Sigplan Notices","http://portal.acm.org/browse_dl.cfm?idx=J706"
216,"STANDARDVIEW","ACM Standardview","http://portal.acm.org/browse_dl.cfm?idx=J741"
218,"TALIP","ACM Transactions on Asian Language Information Processing","http://talip.acm.org/"
219,"TOCL","ACM Transactions on Computational Logic","http://www.acm.org/tocl"
220,"TOCHI","ACM Transactions on Computer-human Interaction","http://www.acm.org/tochi/"
221,"TOCS","ACM Transactions on Computer Systems","http://info.acm.org/tocs/"
222,"TODS","ACM Transactions on Database Systems","http://www.acm.org/tods"
223,"TODAES","ACM Transactions on Design Automation of Electronic Systems","http://www.acm.org/pubs/todaes/"
224,"TECS","ACM Transactions in Embedded Computing Systems","http://www.acm.org/tecs/"
225,"TOG","ACM Transactions on Graphics","http://www.acm.org/tog/"
226,"TOSEM","ACM Transactions on Software Engineering and Methodology","http://www.acm.org/tosem/"
227,"ACTAC","Acta Cybernetica","http://www.inf.u-szeged.hu/kutatas/actacybernetica/starthu.xml"
228,"ACTA","Acta Informatica","http://link.springer.de/link/service/journals/00236/index.htm"
229,"AC","Advances in Computers","http://www.harcourt-international.com/serials/computers/"
230,"AAMAS","Autonomous Agents and Multi-agent Systems","http://www.wkap.nl/journalhome.htm/1387-2532"
231,"AIS","Ai & Society","http://link.springer.de/link/service/journals/00146/index.htm"
232,"AICOM","Ai Communications","http://iospress.metapress.com/openurl.asp?genre=journal&issn=0921-7126"
233,"AIM","Ai Magazine","www.aaai.org/Magazine/magazine.php"
234,"","Algorithmica","http://www.springerlink.com/openurl.asp?genre=journal&issn=0178-4617"
235,"AAECC","Applicable Algebra in Engineering, Communication and Computing","http://link.springer.de/link/service/journals/00200/index.htm"
236,"WI","Wirtschaftsinformatik / Angewandte Informatik","http://www.wirtschaftsinformatik.de/"
237,"APAL","Annals of Pure and Applied Logic","www.elsevier.com/locate/apal"
238,"ANSOFT","Annals of Software Engineering","http://www.wkap.nl/prod/j/1022-7091"
239,"AAI","Applied Artificial Intelligence","http://www.tandf.co.uk/journals/tf/08839514.html"
240,"ASC","Applied Soft Computing","http://www.sciencedirect.com/science/journal/15684946"
241,"ARSCOM","Ars Combinatoria","http://www.combinatorialmath.ca/ArsCombinatoria/index.html"
242,"AI","Artificial Intelligence","http://www.elsevier.com/locate/artint"
243,"ETAI","Electronic Transactions on Artificial Intelligence","http://www.etai.info/"
244,"ARTMED","Artificial Intelligence in Medicine","www.elsevier.com/locate/artmed"
245,"AIR","Artificial Intelligence Review","http://www.springer.com/computer/ai/journal/10462"
246,"ALIFE","Artificial Life","www.mitpressjournals.org/loi/artl"
247,"ASE","Automated Software Engineering","http://www.wkap.nl/journalhome.htm/0928-8910"
248,"","Science","http://www.sciencemag.org/"
249,"","Sigecom Exchanges","http://www.acm.org/sigecom/exchanges/"
250,"","Sigir Forum","www.sigir.org/forum/"
251,"","Sigkdd Explorations","http://www.sigkdd.org/index.php"
253,"","Sigmod Record","www.sigmod.org/record"
254,"SIMPRA","Simulation Practice and Theory","www.sciencedirect.com/science/journal/09284869"
255,"SOCO","Soft Computing","http://www.springer.com/engineering/mathematical/journal/500"
256,"SOSYM","Software and System Modeling","http://www.sosym.org/"
257,"STP","Software - Concepts and Tools / Structured Programming","http://link.springer.de/link/service/journals/00378/index.htm"
258,"SOFO","Software Focus","http://www.interscience.wiley.com/jpages/1529-7942/"
259,"SPE","Software - Practice and Experience","http://www.interscience.wiley.com/jpages/0038-0644/"
260,"SOPR","Software Process: Improvement and Practice","http://www.interscience.wiley.com/jpages/1077-4866/"
261,"STVR","Software Testing, Verification & Reliability","http://as.wiley.com/WileyCDA/WileyTitle/productCd-STVR.html"
265,"FMSD","Formal Methods in System Design","http://www.springerlink.com/content/0925-9856"
266,"TAPOS","Theory and Practice of Object Systems","http://www.interscience.wiley.com/jpages/1074-3227/"
267,"TELSYS","Telecommunication Systems","http://www.wkap.nl/prod/j/1018-4864"
268,"TELE","Telematics and Informatics","http://www.elsevier.com/locate/tele"
269,"TCS","Theoretical Computer Science","http://www.elsevier.com/locate/tcs"
270,"CJTCS","Chicago Journal of Theoretical Computer Science","http://cjtcs.cs.uchicago.edu/"
271,"DMTCS","Discrete Mathematics & Theoretical Computer Science","www.dmtcs.org/dmtcs-ojs/index.php/dmtcs"
273,"VC","The Visual Computer","http://link.springer.de/link/service/journals/00371/index.htm"
274,"VLDB","The Vldb Journal","http://link.springer.de/link/service/journals/00778/index.htm"
275,"WINET","Wireless Networks","http://www.wkap.nl/prod/j/1022-0038"
276,"HMD","Praxis Der Wirtschaftsinformatik","http://hmd.dpunkt.de/"
277,"WWW","World Wide Web","http://www.wkap.nl/prod/j/1386-145X"
278,"BIOINFORMATICS","Bioinformatics/computer Applications in The Biosciences","http://bioinformatics.oupjournals.org/"
279,"BIT","Bit Numerical Mathematics","http://www.springerlink.com/content/0006-3835/"
280,"BIB","Briefings in Bioinformatics","http://bib.oxfordjournals.org/"
281,"EATCS","Bulletin of The European Association for Theoretical Computer Science","http://www.eatcs.org/index.php/eatcs-bulletin"
282,"CLUSTER","Cluster Computing","http://www.wkap.nl/journalhome.htm/1386-7857"
283,"DCC","Designs, Codes and Cryptography","www.springer.com/mathematics/numbers/journal/10623"
284,"COGSCI","Cognitive Science","http://cognitivesciencesociety.org/journal_csj.html"
285,"RCC","Revista Colombiana De Computacion / Colombian Journal of Computation","http://www.unab.edu.co/editorialunab/revistas/rcc/ingles.htm"
286,"","Combinatorica","http://link.springer.de/link/service/journals/00493/"
287,"CPC","Combinatorics, Probability & Computing","http://journals.cambridge.org/action/displayJournal?jid=CPC"
288,"ECR","Electronic Commerce Research","http://www.wkap.nl/journalhome.htm/1389-5753"
289,"ECRA","Electronic Commerce Research and Applications","http://www.elsevier.com/wps/find/journaldescription.cws_home/621289/description#description"
290,"CC","Computational Complexity","http://www.springerlink.com/openurl.asp?genre=journal&issn=1016-3328"
291,"ECCC","Electronic Colloquium on Computational Complexity","http://www.eccc.uni-trier.de/eccc/"
292,"COMGEO","Computational Geometry: Theory and Applications","www.elsevier.com/locate/comgeo"
293,"CAD","Computer-aided Design","http://www.sciencedirect.com/science/journal/00104485"
294,"CCR","Computer Communication Review","http://www.acm.org/sigs/sigcomm/ccr/"
295,"COMCOM","Computer Communications","www.elsevier.com/locate/comcom"
296,"CGF","Computer Graphics Forum","http://www.blackwellpublishing.com/journal.asp?ref=0167-7055"
297,"CJ","The Computer Journal","http://www.oup.co.uk/computer_journal/"
298,"CL","Computer Languages, Systems & Structures","www.elsevier.com/locate/cl"
299,"CORR","Computing Research Repository","http://arxiv.org/corr/home"
300,"CSCW","Computer Supported Cooperative Work","http://www.wkap.nl/journalhome.htm/0925-9724"
301,"CSSE","Computer Systems: Science & Engineering",""
302,"CIE","Computers in Entertainment","http://www.acm.org/pubs/cie.html"
303,"","Computing","http://link.springer.de/link/service/journals/00607/index.htm"
304,"CSYS","Computing Systems","www.usenix.org/publications/computing/"
305,"CONCURRENCY","Concurrency and Computation: Practice and Experience","http://www.interscience.wiley.com/jpages/1532-0626/"
306,"CONNECTION","Connection Science","http://taylorandfrancis.metapress.com/openurl.asp?genre=journal&issn=0954-0091"
307,"CONSTRAINTS","Constraints - An International Journal","www.springer.com/computer/ai/journal/10601"
309,"","Cybernetics and Systems","http://www.tandf.co.uk/journals/tf/01969722.html"
310,"DLIB","D-lib Magazine","http://www.dlib.org/"
311,"","ACM Sigmis Database","http://portal.acm.org/browse_dl.cfm?idx=J219"
312,"DATASCIENCE","Data Science Journal","http://www.codata.org/dsj/index.html"
313,"GIDR","Datenbank Rundbrief","http://dblp.uni-trier.de/db/journals/gidr/"
314,"DBSK","Datenbank-spektrum","http://www.datenbank-spektrum.de/"
315,"DUD","Datenschutz Und Datensicherheit","http://www.dud.de/"
316,"DTJ","Digital Technical Journal","http://www.hpl.hp.com/hpjournal/dtj/past.htm"
318,"DAM","Discrete Applied Mathematics","www.elsevier.com/locate/dam"
319,"DCG","Discrete & Computational Geometry","http://link.springer.de/link/service/journals/00454/index.htm"
320,"DC","Distributed Computing","http://link.springer.de/link/service/journals/00446/index.htm"
321,"EM","Electronic Markets","http://www.electronicmarkets.org"
322,"EPODD","Electronic Publishing - Origination, Dissemination and Design","http://cajun.cs.nott.ac.uk/compsci/epo/"
323,"EMISA","Emisa Forum","http://subs.emis.de/LNI/EMISA-Forum.html"
324,"EWC","Engineering With Computers","http://www.springerlink.com/content/102820/"
325,"EC","Evolutionary Computation","http://mitpress.mit.edu/journal-home.tcl?issn=10636560"
326,"GPEM","Genetic Programming and Evolvable Machines","http://www.wkap.nl/journalhome.htm/1389-2576"
327,"FIRSTMONDAY","First Monday","http://firstmonday.org/"
328,"FAC","Formal Aspects of Computing","http://www.springerlink.com/content/102822/"
329,"FUIN","Fundamenta Informaticae","http://iospress.metapress.com/openurl.asp?genre=journal&issn=0169-2968"
330,"FGCS","Future Generation Computer Systems","http://www.sciencedirect.com/science/journal/0167739X"
331,"","Geoinformatica","http://www.wkap.nl/journalhome.htm/1384-6175"
333,"MISQE","Mis Quarterly Executive","http://www.misqe.org/"
334,"LNCS","Lecture Notes in Computer Science","http://www.springerlink.com/content/105633/"
335,"ACR","Advances in Computing Research",""
336,"CI","Computational Intelligence","http://www.blackwellpublishers.co.uk/asp/journal.asp?ref=0824-7935"
337,"TR","IEEE Transactions on Reliability","http://www.ieee.org/organizations/pubs/transactions/tr.htm"
339,"ZMP","Zeitschrift Für Medienpsychologie","http://www.hogrefe.de/zeitschriften/zeitschrift-fuer-medienpsychologie/"
340,"CMGT","Computer Measurement Group Transactions",""
341,"COMPSEC","Computers & Security","www.elsevier.com/locate/cose"
342,"COMSIS","Computer Science and Information Systems","http://www.comsis.org/"
343,"COWO","Computerworld","http://www.computerworld.com/"
345,"CUZA","Scientific Annals of Cuza University","www.infoiasi.ro/bin/Annals/"
346,"CVGIP","Graphical Models /graphical Models and Image Processing /computer Vision, Graphics, and Image Processing","http://www.sciencedirect.com/science/journal/15240703"
347,"CYS","Computación Y Sistemas","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-5546&nrm=iso&rep=&lng=es"
348,"DIDACTICA","Informatica Didactica","http://www.informatica-didactica.de/"
349,"AIEDAM","Ai Edam Artificial Intelligence for Engineering Design, Analysis and Manufacturing","http://journals.cambridge.org/action/displayJournal?jid=AIE"
